id,created_at,text,media_url
270945598163800065,2012-11-20 17:43:59,b'RT @_KaseO_: \xc2\xbfCu\xc3\xa1ndo volver\xc3\xa1 Doble V?\xc2\xbfCu\xc3\xa1ndo volver\xc3\xa1 Kase.O? http://t.co/ZHjYBW7e',http://pbs.twimg.com/media/A8KXOUGCAAAUog4.png
270626049409286144,2012-11-19 20:34:12,b'RT @ARMA_X: Dadle difusion a esto. http://t.co/8kxtJo6z',http://pbs.twimg.com/media/A8BRJ9iCcAEAXf4.jpg
270553453330309120,2012-11-19 15:45:44,b'RT @XabelG: Recortables y recortados http://t.co/RYdGIJ10',http://pbs.twimg.com/media/A8EyvYLCMAABVTR.jpg
270552636284096513,2012-11-19 15:42:29,b'RT @XabelG: #gaza http://t.co/2fAXMVVx',http://pbs.twimg.com/media/A8EyCCSCYAA8ta2.png
270123918193463296,2012-11-18 11:18:55,b'RT @AwayFrom1D: APLAUSOS A QUIEN HA ESCRITO ESTO. http://t.co/yQuP1ASP',http://pbs.twimg.com/media/A71XHFRCIAENCmV.jpg
270123139147657216,2012-11-18 11:15:49,"b'RT @PabloHasel: Objetivos de Israel, pues quieren destruir el futuro de Palestina. http://t.co/WXwJEbYG'",http://pbs.twimg.com/media/A7-rDR1CUAE__-1.jpg
270121527297597440,2012-11-18 11:09:25,b'RT @PabloHasel: El f\xc3\xb3sforo blanco que lanzan los sionistas. http://t.co/wsLxf3Wf',http://pbs.twimg.com/media/A7-pnz8CYAAUca-.jpg
270119208917028864,2012-11-18 11:00:12,b'RT @CruzDiez: \xc2\xbf3 cosas hay en la vida? http://t.co/oeN2JNma',http://pbs.twimg.com/media/A7-mz2nCEAAkpKl.jpg
269750359738699776,2012-11-17 10:34:32,b'RT @ARMA_X: DIFUNDASE http://t.co/5eX1Yuli',http://pbs.twimg.com/media/A75YQnkCEAA8Tyh.jpg
269745675204456449,2012-11-17 10:15:55,b'RT @LocusDuoKie: Jajaja http://t.co/ZrXYE6zH',http://pbs.twimg.com/media/A71Xek6CMAEqESm.jpg
269505805722742785,2012-11-16 18:22:45,b'RT @Titofalsalarma: Escuchando la new shit!! Comiendome las putas u\xc3\xb1as jajajaa... http://t.co/mF5XUorg',http://pbs.twimg.com/media/A715w8DCYAILMMI.jpg
269197794294763520,2012-11-15 21:58:50,b'RT @ElAmanteDelRap: http://t.co/7jYosB6j',http://pbs.twimg.com/media/A7xheNECAAEusrc.jpg
269195467353645056,2012-11-15 21:49:35,b'RT @Puta_Espanya: Licencia para matar...elefantes http://t.co/UbyIgYY7',http://pbs.twimg.com/media/A7xfikWCQAAv3O3.jpg
269187036118917120,2012-11-15 21:16:05,b'RT @LacrataRebel: \xc2\xbfD\xc3\x93NDE EST\xc3\x81N LOS ORGANISMOS DE DERECHOS HUMANOS? SIONISTAS ASESINOS!!! DIFUNDIR!! http://t.co/sKRl0aZR',http://pbs.twimg.com/media/A7xXRK6CEAAaRWo.jpg
269122530508414976,2012-11-15 16:59:45,b'RT @mikeliturriaga: QU\xc3\x89 ASTUTOS son algunos para enga\xc3\xb1arnos con las etiquetas http://t.co/8I2kaO4J v\xc3\xada @arquetra',http://pbs.twimg.com/media/A7wOSQuCIAEdzDW.jpg
268658356510666752,2012-11-14 10:15:18,b'RT @PabloGabande: Espontaneo al paso del piquete joven. #14n #sinmiedo #PiqueteJoven http://t.co/gbkeQMZ9',http://pbs.twimg.com/media/A7pb6UQCMAErw8Z.jpg
